StudioTestName,ParticipantName,RecordingName,RecordingDuration,RecordingResolution,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,StudioEventIndex,StudioEvent,StudioEventData,ExternalEventIndex,ExternalEvent,ExternalEventValue,EventMarkerValue,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),SaccadicAmplitude,AbsoluteSaccadicDirection,RelativeSaccadicDirection,GazePointIndex,GazePointLeftX (ADCSpx),GazePointLeftY (ADCSpx),GazePointRightX (ADCSpx),GazePointRightY (ADCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),GazePointX (MCSpx),GazePointY (MCSpx),GazePointLeftX (ADCSmm),GazePointLeftY (ADCSmm),GazePointRightX (ADCSmm),GazePointRightY (ADCSmm),StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),EyePosLeftZ (ADCSmm),EyePosRightX (ADCSmm),EyePosRightY (ADCSmm),EyePosRightZ (ADCSmm),CamLeftX,CamLeftY,CamRightX,CamRightY,DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight,IRMarkerCount,IRMarkerID,PupilGlassesRight
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,80,18:52:53.232,1538826855027460,,,,,,,0,,,,,,,,,,1,820,485,833,454,826,469,,,219.32,159.63,222.98,168.16,221.15,163.89,192.68,114.11,486.30,249.77,116.55,480.36,,,,,500.49,500.49,3.27,3.56,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,84,18:52:53.236,1538826855031450,,,,,,,0,1,,Fixation,36,,,,,,2,826,418,829,464,827,441,,,221.03,177.78,221.82,165.49,221.42,171.63,192.86,113.73,484.98,249.88,116.56,480.26,,,,,499.10,499.10,3.32,3.56,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,88,18:52:53.240,1538826855035471,,,,,,,0,1,,Fixation,36,,,,,,3,827,429,831,448,829,438,,,221.26,174.84,222.37,169.62,221.82,172.23,192.94,113.85,485.15,249.98,116.58,480.20,,,,,499.29,499.29,3.31,3.51,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,92,18:52:53.244,1538826855039465,,,,,,,0,1,,Fixation,36,,,,,,4,821,478,825,447,823,462,,,219.80,161.57,220.71,169.89,220.26,165.73,192.92,114.52,487.09,250.08,116.63,480.20,,,,,501.32,501.32,3.30,3.51,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,96,18:52:53.248,1538826855043468,,,,,,,0,1,,Fixation,36,,,,,,5,821,489,819,454,820,471,,,219.67,158.68,219.10,167.94,219.38,163.31,193.07,114.22,486.04,250.19,116.68,480.25,,,,,500.22,500.22,3.42,3.47,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,100,18:52:53.252,1538826855047464,,,,,,,0,1,,Fixation,36,,,,,,6,819,501,813,450,816,475,,,219.21,155.39,217.62,169.26,218.41,162.33,193.07,114.75,487.48,250.29,116.70,480.21,,,,,501.74,501.74,3.35,3.52,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,103,18:52:53.256,1538826855051438,,,,,,,0,1,,Fixation,36,,,,,,7,822,487,837,466,829,476,,,219.92,159.09,224.02,164.97,221.97,162.03,193.23,114.46,486.44,250.38,116.74,480.15,,,,,500.65,500.65,3.33,3.50,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,108,18:52:53.260,1538826855055547,,,,,,,0,1,,Fixation,36,,,,,,8,815,517,822,419,818,468,,,218.15,151.24,219.87,177.44,219.01,164.34,193.62,112.82,481.10,250.49,116.76,480.12,,,,,495.06,495.06,3.31,3.46,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,112,18:52:53.264,1538826855059544,,,,,,,0,1,,Fixation,36,,,,,,9,828,400,833,409,830,404,,,221.56,182.45,222.86,180.22,222.21,181.34,193.51,114.08,484.90,250.60,116.81,480.17,,,,,499.04,499.04,3.21,3.43,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,116,18:52:53.268,1538826855063546,,,,,,,0,1,,Fixation,36,,,,,,10,846,420,841,458,843,439,,,226.27,177.12,225.00,166.89,225.64,172.01,193.71,113.82,483.86,250.74,116.88,480.16,,,,,497.95,497.95,3.16,3.45,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,120,18:52:53.272,1538826855067543,,,,,,,0,1,,Fixation,36,,,,,,11,880,464,873,425,876,444,,,235.43,165.34,233.60,175.72,234.52,170.53,193.70,114.91,487.04,250.89,116.92,480.14,,,,,501.29,501.29,3.24,3.42,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,124,18:52:53.276,1538826855071542,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,12,901,408,899,398,900,403,,,241.22,180.41,240.55,183.10,240.89,181.76,193.99,114.19,484.57,251.03,117.01,480.15,,,,,498.70,498.70,3.18,3.45,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,128,18:52:53.280,1538826855075537,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,13,909,398,914,394,911,396,,,243.20,183.03,244.66,184.10,243.93,183.56,193.95,115.34,487.92,251.17,117.06,480.19,,,,,502.22,502.22,3.18,3.42,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,132,18:52:53.284,1538826855079537,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,14,925,390,913,344,919,367,,,247.58,185.24,244.42,197.47,246.00,191.36,194.24,114.48,485.10,251.31,117.09,480.17,,,,,499.26,499.26,3.20,3.39,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,136,18:52:53.288,1538826855083533,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,15,944,433,931,391,937,412,,,252.53,173.81,249.15,185.09,250.84,179.45,194.22,115.28,487.39,251.42,117.13,480.16,,,,,501.67,501.67,3.22,3.38,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,140,18:52:53.292,1538826855087527,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,16,935,456,931,442,933,449,,,250.31,167.58,249.05,171.34,249.68,169.46,194.36,114.99,486.32,251.52,117.16,480.15,,,,,500.55,500.55,3.23,3.42,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,144,18:52:53.296,1538826855091528,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,17,920,397,931,404,925,400,,,246.26,183.24,249.12,181.35,247.69,182.29,194.54,114.41,484.46,251.62,117.19,480.19,,,,,498.59,498.59,3.20,3.41,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,148,18:52:53.300,1538826855095518,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,18,921,441,929,435,925,438,,,246.57,171.54,248.58,173.20,247.58,172.37,194.49,115.21,486.76,251.71,117.19,480.14,,,,,501.02,501.02,3.30,3.45,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,152,18:52:53.304,1538826855099525,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,19,934,430,923,363,928,396,,,250.00,174.59,247.10,192.61,248.55,183.60,194.67,114.58,484.73,251.80,117.17,480.03,,,,,498.89,498.89,3.17,3.35,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,156,18:52:53.308,1538826855103521,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,20,936,417,923,401,929,409,,,250.49,177.97,246.88,182.17,248.68,180.07,194.63,115.35,487.02,251.89,117.20,480.02,,,,,501.29,501.29,3.14,3.49,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,160,18:52:53.312,1538826855107516,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,21,934,388,922,412,928,400,,,249.92,185.73,246.67,179.39,248.29,182.56,194.85,114.54,484.26,251.97,117.27,480.10,,,,,498.40,498.40,3.08,3.38,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,164,18:52:53.316,1538826855111516,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,22,927,384,940,411,933,397,,,248.02,186.78,251.43,179.53,249.73,183.16,194.78,115.46,487.07,252.06,117.25,479.99,,,,,501.35,501.35,3.15,3.35,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,168,18:52:53.320,1538826855115511,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,23,927,437,926,368,926,402,,,248.15,172.52,247.81,191.07,247.98,181.80,194.88,115.39,486.72,252.16,117.26,479.95,,,,,500.98,500.98,3.23,3.35,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,172,18:52:53.324,1538826855119508,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,24,922,374,938,384,930,379,,,246.73,189.43,251.02,186.88,248.88,188.15,195.16,114.26,483.11,252.24,117.30,480.01,,,,,497.20,497.20,3.16,3.38,0,0,,,
Btest_new6,P23,Rec 235,40006,1920 x 1080,,,,,,176,18:52:53.328,1538826855123508,,,,,,,0,2,,Fixation,260,,,3.48,22.92,,25,933,404,928,414,930,409,,,249.73,181.55,248.45,178.93,249.09,180.24,195.05,115.38,486.45,252.33,117.30,479.95,,,,,500.71,500.71,3.11,3.41,0,0,,,
