track,instrument,start_time,end_time,note_type,note_strength
0,,8.013020833333332,8.028645833333332,29,48
0,,8.013020833333332,8.03125,51,42
0,,8.015625,8.067708333333332,54,44
0,,8.018229166666666,8.138020833333332,24,71
0,,8.018229166666666,8.140625,2a,47
0,,8.015625,8.177083333333332,5b,36
0,,8.013020833333332,8.307291666666666,24,6c
0,,8.018229166666666,8.307291666666666,2a,51
0,,8.3515625,8.416666666666666,4f,3c
0,,8.177083333333332,8.481770833333332,2a,49
0,,8.526041666666666,8.591145833333332,4f,3c
0,,8.3515625,8.65625,2a,4b
0,,8.526041666666666,8.721354166666666,5b,34
0,,8.526041666666666,8.830729166666666,2a,3a
0,,8.875,8.940104166666666,4f,3c
0,,8.018229166666666,8.9609375,24,71
0,,8.833333333333332,8.963541666666666,2c,78
0,,8.830729166666666,9.0703125,1f,6f
0,,9.049479166666666,9.114583333333332,54,45
0,,8.700520833333332,9.1796875,2a,39
0,,9.049479166666666,9.265625,5b,35
0,,9.049479166666666,9.354166666666666,2a,3c
0,,9.395833333333332,9.463541666666666,4f,40
0,,9.223958333333332,9.528645833333332,2a,3e
0,,9.572916666666666,9.638020833333332,4f,3b
0,,9.3984375,9.703125,2a,36
0,,9.572916666666666,9.747395833333332,5b,35
0,,9.572916666666666,9.877604166666666,2a,39
0,,8.010416666666666,9.947916666666666,3c,48
0,,9.919270833333332,9.986979166666666,4f,3e
0,,8.013020833333332,9.9921875,43,49
0,,8.010416666666666,10.028645833333332,40,47
0,,9.747395833333332,10.052083333333332,2a,38
0,,8.830729166666666,10.052083333333332,24,78
0,,10.096354166666666,10.161458333333332,54,44
0,,9.921875,10.2265625,24,71
0,,10.098958333333332,10.2265625,24,71
0,,9.921875,10.2265625,2a,47
0,,10.096354166666666,10.247395833333332,2b,71
0,,10.096354166666666,10.270833333333332,5b,38
0,,10.098958333333332,10.401041666666666,2a,51
0,,10.268229166666666,10.442708333333332,2d,69
0,,10.4453125,10.510416666666666,51,42
0,,10.270833333333332,10.575520833333332,2a,49
0,,10.421875,10.596354166666666,29,50
0,,10.619791666666666,10.684895833333332,51,41
0,,10.4453125,10.75,2a,4b
0,,10.619791666666666,10.770833333333332,2b,4e
0,,10.619791666666666,10.815104166666666,5b,37
0,,10.770833333333332,10.924479166666666,2d,46
0,,10.622395833333332,10.924479166666666,2a,3a
0,,10.96875,11.033854166666666,51,3f
0,,10.971354166666666,11.098958333333332,2c,71
0,,10.96875,11.098958333333332,24,71
0,,10.966145833333332,11.119791666666666,26,4c
0,,11.143229166666666,11.208333333333332,54,45
0,,10.794270833333332,11.2734375,2a,39
0,,11.140625,11.294270833333332,28,46
0,,11.143229166666666,11.338541666666666,5b,37
0,,11.143229166666666,11.447916666666666,2a,3c
0,,11.315104166666666,11.46875,24,46
0,,11.4921875,11.5546875,51,4a
0,,11.494791666666666,11.622395833333332,26,7c
0,,11.317708333333332,11.622395833333332,2a,3e
0,,11.489583333333332,11.643229166666666,21,46
0,,11.666666666666666,11.731770833333332,51,44
0,,10.072916666666666,11.7734375,45,42
0,,10.09375,11.776041666666666,3c,4a
0,,10.072916666666666,11.796875,41,46
0,,11.669270833333332,11.796875,26,7d
0,,11.4921875,11.796875,2a,36
0,,11.666666666666666,11.8828125,5b,39
0,,11.666666666666666,11.971354166666666,2a,39
0,,11.6640625,12.080729166666666,1f,4c
0,,12.013020833333332,12.080729166666666,51,4c
0,,12.015625,12.145833333333332,26,7f
0,,11.841145833333332,12.145833333333332,2a,38
0,,12.015625,12.325520833333332,2a,47
0,,12.1953125,12.471354166666666,40,37
0,,12.1953125,12.4921875,3c,3c
0,,12.200520833333332,12.494791666666666,2a,4d
0,,12.197916666666666,12.5,43,38
0,,12.197916666666666,12.559895833333332,40,46
0,,12.361979166666666,12.669270833333332,2a,39
0,,12.713541666666666,12.84375,25,6b
0,,12.536458333333332,12.84375,2a,2c
0,,12.734375,12.885416666666666,40,4a
0,,12.197916666666666,12.9296875,24,62
0,,12.7109375,13.018229166666666,2a,39
0,,13.0546875,13.192708333333332,40,3c
0,,12.888020833333332,13.192708333333332,2a,47
0,,12.200520833333332,13.192708333333332,24,65
0,,13.059895833333332,13.2578125,24,5c
0,,13.0625,13.3671875,24,68
0,,13.0625,13.3671875,2a,40
0,,13.234375,13.541666666666666,41,45
0,,13.239583333333332,13.541666666666666,2a,3e
0,,13.408854166666666,13.716145833333332,2a,39
0,,13.5625,13.78125,40,3a
0,,13.760416666666666,13.890625,25,68
0,,13.5859375,13.890625,2a,35
0,,13.236979166666666,13.971354166666666,2b,5f
0,,13.7578125,14.065104166666666,2a,47
0,,13.78125,14.106770833333332,3e,40
0,,13.932291666666666,14.239583333333332,2a,37
