track,instrument,start_time,end_time,note_type,note_strength
0,,28.02195,28.482114375000002,2a,43
0,,28.68129,29.787058125,2a,3a
0,,31.31865,33.097494375000004,2a,41
0,,31.977990000000002,35.0583440625,2a,45
0,,35.27469,35.7245521875,2a,41
0,,32.63733,36.3838921875,2a,49
0,,33.95601,36.3838921875,2a,49
0,,35.93403,36.3838921875,2a,49
0,,36.59337,40.3330640625,2a,43
0,,37.91205,40.3330640625,2a,43
0,,37.25271,41.00270625,2a,41
0,,29.34063,42.3179521875,2a,39
0,,39.89007,42.3179521875,2a,39
0,,41.20875,42.3179521875,2a,39
0,,30.65931,42.96699,2a,3c
0,,34.61535,42.96699,2a,3c
0,,41.86809,43.6366321875,2a,43
0,,43.18677,43.6366321875,2a,43
0,,42.52743,45.611218125,2a,45
0,,38.57139,50.515059375,2a,4b
0,,45.16479,50.8962403125,2a,43
0,,48.46149,50.8962403125,2a,43
0,,49.78017,50.8962403125,2a,43
0,,42.19776,53.1489853125,26,60
0,,30.164805,53.475221250000004,26,5e
0,,32.802165,53.475221250000004,26,5e
0,,43.351605,53.6503584375,26,58
0,,51.09885,54.855714375,2a,3a
0,,52.41753,55.5047521875,2a,49
0,,54.39555,56.837168437500004,2a,43
0,,57.03291,62.08785,2a,49
0,,60.32961,62.08785,2a,49
0,,60.98895,62.08785,2a,49
0,,58.35159,65.679879375,2a,4d
0,,65.60433,66.050758125,2a,45
0,,56.37357,67.369438125,2a,46
0,,61.64829,67.369438125,2a,46
0,,62.30763,67.369438125,2a,46
0,,55.05489,68.303503125,2a,4b
0,,55.71423,68.303503125,2a,4b
0,,57.69225,71.3426484375,2a,43
0,,64.94499,72.2698453125,2a,4f
0,,70.87905,72.2698453125,2a,4f
0,,72.19773,73.31036625,2a,46
0,,72.85707000000001,73.31036625,2a,46
0,,70.54938,74.1448434375,4d,55
0,,76.15377,77.2492359375,2a,4f
0,,43.84611,83.2142025,2a,41
0,,47.80215,83.2142025,2a,41
0,,62.96697,83.2142025,2a,41
0,,66.92301,83.2142025,2a,41
0,,67.58235,83.2142025,2a,41
0,,76.81311,83.2142025,2a,41
0,,66.26367,83.87010843750001,2a,45
0,,82.74717,83.87010843750001,2a,45
0,,40.54941,84.5328825,2a,3f
0,,44.50545,84.5328825,2a,3f
0,,49.12083,84.5328825,2a,3f
0,,51.75819,84.5328825,2a,3f
0,,68.24169,84.5328825,2a,3f
0,,68.90103,85.4497771875,2a,49
0,,80.76915,85.4497771875,2a,49
0,,82.08783,85.4497771875,2a,49
0,,29.99997,85.8412603125,2a,3e
0,,63.626310000000004,85.8412603125,2a,3e
0,,71.53839,87.43809937500001,2a,4b
0,,81.42849,87.43809937500001,2a,4b
0,,70.87905,87.9016978125,48,55
0,,62.30763,89.3130975,26,58
0,,14.121689343749999,89.3920809375,41,56
0,,73.51641000000001,92.4277921875,2a,46
0,,74.17575000000001,92.4277921875,2a,46
0,,75.49443,92.4277921875,2a,46
0,,87.36255,92.4277921875,2a,46
0,,91.97793,93.7602084375,2a,45
0,,86.04387,94.0418015625,2a,4d
0,,86.70321,95.734794375,2a,42
0,,92.63727,96.3975684375,2a,3d
0,,95.27463,96.69289781250001,2a,49
0,,95.93397,97.341935625,2a,4d
0,,97.91199,98.37215437500001,2a,46
0,,83.40651,98.660615625,2a,4f
0,,88.02189,98.660615625,2a,4f
0,,98.57133,98.660615625,2a,4f
0,,56.538405,99.6427575,26,5e
