track,instrument,start_time,end_time,note_type,note_strength
0,,0.0,0.3375,32,40
0,,0.3125,0.4,36,40
0,,0.6000000000000001,0.6625000000000001,39,40
0,,0.9,0.9500000000000001,3e,40
0,,1.2000000000000002,1.55,2d,40
0,,1.5,1.5625,31,40
0,,1.7875,1.85,34,40
0,,2.0875,2.15,39,40
0,,2.3875,2.7125000000000004,2f,40
0,,2.7,2.7750000000000004,32,40
0,,2.9875000000000003,3.075,36,40
0,,3.2875,3.3375000000000004,3b,40
0,,3.6,3.8875,2a,40
0,,3.9000000000000004,3.9875000000000003,2d,40
0,,4.2,4.2875000000000005,31,40
0,,4.4875,4.55,36,40
0,,4.825,5.1375,2b,40
0,,5.1000000000000005,5.2,2f,40
0,,5.4125000000000005,5.5,32,40
0,,5.7,5.75,37,40
0,,5.987500000000001,6.362500000000001,26,40
0,,6.300000000000001,6.4,2a,40
0,,6.5875,6.6625000000000005,2d,40
0,,6.875,6.95,32,40
0,,7.2,7.5,2b,40
0,,7.487500000000001,7.5875,2f,40
0,,7.800000000000001,7.862500000000001,32,40
0,,8.075000000000001,8.15,37,40
0,,8.387500000000001,8.700000000000001,2d,40
0,,8.6625,8.75,31,40
0,,8.975,9.05,34,40
0,,9.2875,9.35,39,40
0,,9.600000000000001,9.9375,32,40
0,,9.912500000000001,10.0,36,40
0,,10.200000000000001,10.262500000000001,39,40
0,,10.5,10.55,3e,40
0,,9.6125,10.762500000000001,4e,40
0,,10.8,11.15,2d,40
0,,11.100000000000001,11.162500000000001,31,40
0,,11.387500000000001,11.450000000000001,34,40
0,,11.6875,11.75,39,40
0,,10.8,12.0,4c,40
0,,11.9875,12.3125,2f,40
0,,12.3,12.375,32,40
0,,12.5875,12.675,36,40
0,,12.887500000000001,12.9375,3b,40
0,,11.9875,13.175,4a,40
0,,13.200000000000001,13.4875,2a,40
0,,13.5,13.5875,2d,40
0,,13.8,13.887500000000001,31,40
0,,14.0875,14.15,36,40
0,,13.1875,14.350000000000001,49,40
0,,14.425,14.7375,2b,40
0,,14.700000000000001,14.8,2f,40
0,,15.012500000000001,15.100000000000001,32,40
0,,15.3,15.350000000000001,37,40
0,,14.4,15.5625,47,40
0,,15.5875,15.9625,26,40
0,,15.9,16.0,2a,40
0,,16.1875,16.2625,2d,40
0,,16.475,16.55,32,40
0,,15.5875,16.8,45,40
0,,16.8,17.1,2b,40
0,,17.087500000000002,17.1875,2f,40
0,,17.400000000000002,17.462500000000002,32,40
0,,17.675,17.75,37,40
0,,16.7875,17.9875,47,40
0,,17.9875,18.3,2d,40
0,,18.2625,18.35,31,40
0,,18.575,18.650000000000002,34,40
0,,18.8875,18.95,39,40
0,,17.962500000000002,19.075,49,40
0,,19.200000000000003,19.5375,32,40
0,,19.512500000000003,19.6,36,40
0,,19.8,19.8625,39,40
0,,20.1,20.150000000000002,3e,40
0,,19.200000000000003,20.400000000000002,4a,40
0,,19.2375,20.425,4e,40
0,,20.400000000000002,20.75,2d,40
0,,20.700000000000003,20.762500000000003,31,40
0,,20.9875,21.05,34,40
0,,21.2875,21.35,39,40
0,,20.387500000000003,21.6,49,40
0,,20.400000000000002,21.6125,4c,40
0,,21.587500000000002,21.9125,2f,40
0,,21.900000000000002,21.975,32,40
0,,22.1875,22.275000000000002,36,40
0,,22.4875,22.5375,3b,40
0,,21.6,22.8,47,40
0,,21.6,22.8125,4a,40
0,,22.8,23.087500000000002,2a,40
